nim,kode,sks,harga,grup,nilai,semester,th_ajaran
23050002,SI1012,2,2,B,B,GASAL,2005/2006
23050002,SI9043,3,3,B,A,GASAL,2005/2006
23050002,SI1123,3,3,B,A,GASAL,2005/2006
23050002,SI1022,2,2,B,A,GASAL,2005/2006
23050002,SI1072,2,2,B,A,GASAL,2005/2006
23050002,SI1143,3,5,B,A,GASAL,2005/2006
23050002,MH1012,2,2,F,A,GASAL,2005/2006
23050002,PR1143,0,0,A,,GASAL,2005/2006
23050002,SI9053,3,5,A,A,GASAL,2005/2006
23050003,SI1012,2,2,B,B,GASAL,2005/2006
23050003,SI9043,3,3,B,A,GASAL,2005/2006
23050003,SI1123,3,3,B,A,GASAL,2005/2006
23050003,SI1022,2,2,B,A,GASAL,2005/2006
23050003,SI1072,2,2,B,A,GASAL,2005/2006
23050003,SI1143,3,5,B,A,GASAL,2005/2006
23050003,MH1012,2,2,F,B,GASAL,2005/2006
23050003,PR1143,0,0,A,,GASAL,2005/2006
23050003,SI9053,3,5,A,A,GASAL,2005/2006
23050004,SI1012,2,2,B,A,GASAL,2005/2006
23050004,SI9043,3,3,B,A,GASAL,2005/2006
23050004,SI1123,3,3,B,A,GASAL,2005/2006
23050004,SI1022,2,2,B,A,GASAL,2005/2006
23050004,SI1072,2,2,B,A,GASAL,2005/2006
23050004,SI1143,3,5,B,A,GASAL,2005/2006
23050004,MH1012,2,2,F,B,GASAL,2005/2006
23050004,PR1143,0,0,A,,GASAL,2005/2006
23050004,SI9053,3,5,A,A,GASAL,2005/2006
23050005,SI1012,2,2,B,B,GASAL,2005/2006
23050005,SI9043,3,3,B,B,GASAL,2005/2006
23050005,SI1123,3,3,B,B,GASAL,2005/2006
23050005,SI1022,2,2,B,A,GASAL,2005/2006
23050005,SI1072,2,2,B,A,GASAL,2005/2006
23050005,SI1143,3,5,B,A,GASAL,2005/2006
23050005,MH1012,2,2,F,B,GASAL,2005/2006
23050005,PR1143,0,0,A,,GASAL,2005/2006
23050005,SI9053,3,5,A,A,GASAL,2005/2006
23050006,SI1012,2,2,B,B,GASAL,2005/2006
23050006,SI9043,3,3,B,C,GASAL,2005/2006
23050006,SI1123,3,3,B,A,GASAL,2005/2006
23050006,SI1022,2,2,B,B,GASAL,2005/2006
23050006,SI1072,2,2,B,B,GASAL,2005/2006
23050006,SI1143,3,5,B,B,GASAL,2005/2006
23050006,MH1012,2,2,F,C,GASAL,2005/2006
23050006,PR1143,0,0,A,,GASAL,2005/2006
23050006,SI9053,3,5,A,B,GASAL,2005/2006
23050007,SI1012,2,2,B,B,GASAL,2005/2006
23050007,SI9043,3,3,B,B,GASAL,2005/2006
23050007,SI1123,3,3,B,B,GASAL,2005/2006
23050007,SI1022,2,2,B,B,GASAL,2005/2006
23050007,SI1072,2,2,B,A,GASAL,2005/2006
23050007,SI1143,3,5,B,B,GASAL,2005/2006
23050007,MH1012,2,2,F,B,GASAL,2005/2006
23050007,PR1143,0,0,A,,GASAL,2005/2006
23050007,SI9053,3,5,A,A,GASAL,2005/2006
23050008,SI1012,2,2,B,B,GASAL,2005/2006
23050008,SI9043,3,3,B,A,GASAL,2005/2006
23050008,SI1123,3,3,B,A,GASAL,2005/2006
23050008,SI1022,2,2,B,B,GASAL,2005/2006
23050008,SI1072,2,2,B,B,GASAL,2005/2006
23050008,SI1143,3,5,B,A,GASAL,2005/2006
23050008,MH1012,2,2,F,C,GASAL,2005/2006
23050008,PR1143,0,0,C,,GASAL,2005/2006
23050008,SI9053,3,5,C,A,GASAL,2005/2006
23050009,SI1012,2,2,B,A,GASAL,2005/2006
23050009,SI9043,3,3,B,A,GASAL,2005/2006
23050009,SI1123,3,3,B,A,GASAL,2005/2006
23050009,SI1022,2,2,B,A,GASAL,2005/2006
23050009,SI1072,2,2,B,B,GASAL,2005/2006
23050009,SI1143,3,5,B,A,GASAL,2005/2006
23050009,MH1012,2,2,F,A,GASAL,2005/2006
23050009,PR1143,0,0,A,,GASAL,2005/2006
23050009,SI9053,3,5,A,A,GASAL,2005/2006
23050010,SI1012,2,2,B,B,GASAL,2005/2006
23050010,SI9043,3,3,B,B,GASAL,2005/2006
23050010,SI1123,3,3,B,A,GASAL,2005/2006
23050010,SI1022,2,2,B,A,GASAL,2005/2006
23050010,SI1072,2,2,B,A,GASAL,2005/2006
23050010,SI1143,3,5,B,A,GASAL,2005/2006
23050010,MH1012,2,2,F,A,GASAL,2005/2006
23050010,PR1143,0,0,A,,GASAL,2005/2006
23050010,SI9053,3,5,A,A,GASAL,2005/2006
23050011,SI1012,2,2,B,B,GASAL,2005/2006
23050011,SI9043,3,3,B,B,GASAL,2005/2006
23050011,SI1123,3,3,B,B,GASAL,2005/2006
23050011,SI1022,2,2,B,B,GASAL,2005/2006
23050011,SI1072,2,2,B,A,GASAL,2005/2006
23050011,SI1143,3,5,B,B,GASAL,2005/2006
23050011,MH1012,2,2,F,A,GASAL,2005/2006
23050011,PR1143,0,0,A,,GASAL,2005/2006
23050011,SI9053,3,5,A,A,GASAL,2005/2006
23050012,SI1012,2,2,B,B,GASAL,2005/2006
23050012,SI9043,3,3,B,B,GASAL,2005/2006
23050012,SI1123,3,3,B,B,GASAL,2005/2006
23050012,SI1022,2,2,B,B,GASAL,2005/2006
23050012,SI1072,2,2,B,C,GASAL,2005/2006
23050012,SI1143,3,5,B,A,GASAL,2005/2006
23050012,MH1012,2,2,F,B,GASAL,2005/2006
23050012,PR1143,0,0,A,,GASAL,2005/2006
23050012,SI9053,3,5,A,B,GASAL,2005/2006
23050013,SI1012,2,2,B,B,GASAL,2005/2006
23050013,SI9043,3,3,B,E,GASAL,2005/2006
23050013,SI1123,3,3,B,C,GASAL,2005/2006
23050013,SI1022,2,2,B,B,GASAL,2005/2006
23050013,SI1072,2,2,B,C,GASAL,2005/2006
23050013,SI1143,3,5,B,C,GASAL,2005/2006
23050013,MH1012,2,2,F,D,GASAL,2005/2006
23050013,PR1143,0,0,C,,GASAL,2005/2006
23050013,SI9053,3,5,C,B,GASAL,2005/2006
23050014,SI1012,2,2,B,B,GASAL,2005/2006
23050014,SI9043,3,3,B,C,GASAL,2005/2006
23050014,SI1123,3,3,B,A,GASAL,2005/2006
23050014,SI1022,2,2,B,B,GASAL,2005/2006
23050014,SI1072,2,2,B,C,GASAL,2005/2006
23050014,SI1143,3,5,B,B,GASAL,2005/2006
23050014,MH1012,2,2,F,D,GASAL,2005/2006
23050014,PR1143,0,0,C,,GASAL,2005/2006
23050014,SI9053,3,5,C,A,GASAL,2005/2006
23050015,MH1012,2,2,G,B,GASAL,2005/2006
23050015,SI1012,2,2,B,C,GASAL,2005/2006
23050015,SI1022,2,2,B,B,GASAL,2005/2006
23050015,SI9043,3,3,B,D,GASAL,2005/2006
23050015,SI1072,2,2,B,B,GASAL,2005/2006
23050015,SI1123,3,3,B,B,GASAL,2005/2006
23050015,SI1143,3,5,B,A,GASAL,2005/2006
23050015,SI9053,3,5,D,B,GASAL,2005/2006
23050015,PR1143,0,0,A,,GASAL,2005/2006
23050016,SI1012,2,2,B,B,GASAL,2005/2006
23050016,SI9043,3,3,B,D,GASAL,2005/2006
23050016,SI1123,3,3,B,C,GASAL,2005/2006
23050016,SI1022,2,2,B,B,GASAL,2005/2006
23050016,SI1072,2,2,B,C,GASAL,2005/2006
23050016,SI1143,3,5,B,C,GASAL,2005/2006
23050016,MH1012,2,2,F,B,GASAL,2005/2006
23050016,PR1143,0,0,A,,GASAL,2005/2006
23050016,SI9053,3,5,A,C,GASAL,2005/2006
23050017,SI1012,2,2,B,B,GASAL,2005/2006
23050017,SI9043,3,3,B,B,GASAL,2005/2006
23050017,SI1123,3,3,B,C,GASAL,2005/2006
23050017,SI1022,2,2,B,B,GASAL,2005/2006
23050017,SI1072,2,2,B,C,GASAL,2005/2006
23050017,SI1143,3,5,B,C,GASAL,2005/2006
23050017,MH1012,2,2,F,C,GASAL,2005/2006
23050017,PR1143,0,0,C,,GASAL,2005/2006
23050017,SI9053,3,5,C,B,GASAL,2005/2006
23050018,MH1012,2,2,G,E,GASAL,2005/2006
23050018,SI1012,2,2,B,E,GASAL,2005/2006
23050018,SI1022,2,2,B,E,GASAL,2005/2006
23050018,SI9043,3,3,B,E,GASAL,2005/2006
23050018,SI1072,2,2,B,E,GASAL,2005/2006
23050018,SI1123,3,3,B,E,GASAL,2005/2006
23050018,SI1143,3,5,B,E,GASAL,2005/2006
23050018,PR1143,0,0,B,,GASAL,2005/2006
23050018,SI9053,3,5,D,E,GASAL,2005/2006
23050019,SI1012,2,2,B,B,GASAL,2005/2006
23050019,SI9043,3,3,B,C,GASAL,2005/2006
23050019,SI1123,3,3,B,B,GASAL,2005/2006
23050019,SI1022,2,2,B,B,GASAL,2005/2006
23050019,SI1072,2,2,B,B,GASAL,2005/2006
23050019,SI1143,3,5,B,C,GASAL,2005/2006
23050019,MH1012,2,2,F,B,GASAL,2005/2006
23050019,PR1143,0,0,A,,GASAL,2005/2006
23050019,SI9053,3,5,A,B,GASAL,2005/2006
23050020,SI1012,2,2,B,B,GASAL,2005/2006
23050020,SI9043,3,3,B,C,GASAL,2005/2006
23050020,SI1123,3,3,B,C,GASAL,2005/2006
23050020,SI1022,2,2,B,B,GASAL,2005/2006
23050020,SI1072,2,2,B,B,GASAL,2005/2006
23050020,SI1143,3,5,B,C,GASAL,2005/2006
23050020,MH1012,2,2,F,A,GASAL,2005/2006
23050020,PR1143,0,0,C,,GASAL,2005/2006
23050020,SI9053,3,5,C,B,GASAL,2005/2006
23050021,SI1012,2,2,B,B,GASAL,2005/2006
23050021,SI9043,3,3,B,A,GASAL,2005/2006
23050021,SI1123,3,3,B,B,GASAL,2005/2006
23050021,SI1022,2,2,B,B,GASAL,2005/2006
23050021,SI1072,2,2,B,B,GASAL,2005/2006
23050021,SI1143,3,5,B,A,GASAL,2005/2006
23050021,MH1012,2,2,F,B,GASAL,2005/2006
23050021,PR1143,0,0,A,,GASAL,2005/2006
23050021,SI9053,3,5,A,B,GASAL,2005/2006
23050023,SI1012,2,2,B,B,GASAL,2005/2006
23050023,SI9043,3,3,B,B,GASAL,2005/2006
23050023,SI1123,3,3,B,B,GASAL,2005/2006
23050023,SI1022,2,2,B,A,GASAL,2005/2006
23050023,SI1072,2,2,B,B,GASAL,2005/2006
23050023,SI1143,3,5,B,B,GASAL,2005/2006
23050023,MH1012,2,2,F,B,GASAL,2005/2006
23050023,PR1143,0,0,A,,GASAL,2005/2006
23050023,SI9053,3,5,A,B,GASAL,2005/2006
23050024,SI1012,2,2,B,C,GASAL,2005/2006
23050024,SI9043,3,3,B,A,GASAL,2005/2006
23050024,SI1123,3,3,B,A,GASAL,2005/2006
23050024,SI1022,2,2,B,B,GASAL,2005/2006
23050024,SI1072,2,2,B,A,GASAL,2005/2006
23050024,SI1143,3,5,B,A,GASAL,2005/2006
23050024,MH1012,2,2,F,A,GASAL,2005/2006
23050024,PR1143,0,0,A,,GASAL,2005/2006
23050024,SI9053,3,5,A,A,GASAL,2005/2006
23050025,SI1012,2,2,B,B,GASAL,2005/2006
23050025,SI9043,3,3,B,C,GASAL,2005/2006
23050025,SI1123,3,3,B,C,GASAL,2005/2006
23050025,SI1022,2,2,B,B,GASAL,2005/2006
23050025,SI1072,2,2,B,B,GASAL,2005/2006
23050025,SI1143,3,5,B,C,GASAL,2005/2006
23050025,MH1012,2,2,F,E,GASAL,2005/2006
23050025,PR1143,0,0,C,,GASAL,2005/2006
23050025,SI9053,3,5,C,B,GASAL,2005/2006
23050026,SI1012,2,2,B,B,GASAL,2005/2006
23050026,SI9043,3,3,B,B,GASAL,2005/2006
23050026,SI1123,3,3,B,B,GASAL,2005/2006
23050026,SI1022,2,2,B,B,GASAL,2005/2006
23050026,SI1072,2,2,B,B,GASAL,2005/2006
23050026,SI1143,3,5,B,C,GASAL,2005/2006
23050026,MH1012,2,2,F,B,GASAL,2005/2006
23050026,PR1143,0,0,C,,GASAL,2005/2006
23050026,SI9053,3,5,C,C,GASAL,2005/2006
23050027,SI1012,2,2,B,B,GASAL,2005/2006
23050027,SI9043,3,3,B,C,GASAL,2005/2006
23050027,SI1123,3,3,B,B,GASAL,2005/2006
23050027,SI1022,2,2,B,B,GASAL,2005/2006
23050027,SI1072,2,2,B,B,GASAL,2005/2006
23050027,SI1143,3,5,B,B,GASAL,2005/2006
23050027,MH1012,2,2,F,A,GASAL,2005/2006
23050027,PR1143,0,0,A,,GASAL,2005/2006
23050027,SI9053,3,5,A,A,GASAL,2005/2006
23050028,SI1012,2,2,B,B,GASAL,2005/2006
23050028,SI9043,3,3,B,B,GASAL,2005/2006
23050028,SI1123,3,3,B,C,GASAL,2005/2006
23050028,SI1022,2,2,B,B,GASAL,2005/2006
23050028,SI1072,2,2,B,B,GASAL,2005/2006
23050028,SI1143,3,5,B,C,GASAL,2005/2006
23050028,MH1012,2,2,F,A,GASAL,2005/2006
23050028,PR1143,0,0,C,,GASAL,2005/2006
23050028,SI9053,3,5,C,B,GASAL,2005/2006
23050029,SI1012,2,2,B,C,GASAL,2005/2006
23050029,SI9043,3,3,B,D,GASAL,2005/2006
23050029,SI1123,3,3,B,C,GASAL,2005/2006
23050029,SI1022,2,2,B,D,GASAL,2005/2006
23050029,SI1072,2,2,B,C,GASAL,2005/2006
23050029,SI1143,3,5,B,E,GASAL,2005/2006
23050029,MH1012,2,2,F,C,GASAL,2005/2006
23050029,PR1143,0,0,C,,GASAL,2005/2006
23050029,SI9053,3,5,C,C,GASAL,2005/2006
23050030,SI1012,2,2,B,D,GASAL,2005/2006
23050030,SI9043,3,3,B,E,GASAL,2005/2006
23050030,SI1123,3,3,B,C,GASAL,2005/2006
23050030,SI1022,2,2,B,C,GASAL,2005/2006
23050030,SI1072,2,2,B,C,GASAL,2005/2006
23050030,SI1143,3,5,B,E,GASAL,2005/2006
23050030,MH1012,2,2,F,E,GASAL,2005/2006
23050030,PR1143,0,0,A,,GASAL,2005/2006
23050030,SI9053,3,5,A,E,GASAL,2005/2006
23050031,SI1012,2,2,B,E,GASAL,2005/2006
23050031,SI9043,3,3,B,E,GASAL,2005/2006
23050031,SI1123,3,3,B,E,GASAL,2005/2006
23050031,SI1022,2,2,B,E,GASAL,2005/2006
23050031,SI1072,2,2,B,E,GASAL,2005/2006
23050031,SI1143,3,5,B,E,GASAL,2005/2006
23050031,MH1012,2,2,F,E,GASAL,2005/2006
23050031,PR1143,0,0,A,,GASAL,2005/2006
23050031,SI9053,3,5,A,E,GASAL,2005/2006
23050032,SI1022,2,2,B,D,GASAL,2005/2006
23050032,SI9043,3,3,B,E,GASAL,2005/2006
23050032,SI1072,2,2,B,C,GASAL,2005/2006
23050032,SI1123,3,3,B,C,GASAL,2005/2006
23050032,SI1143,3,5,B,E,GASAL,2005/2006
23050032,SI2032,2,2,C,C,GASAL,2005/2006
23050032,PR1143,0,0,B,,GASAL,2005/2006
23050032,SI9053,3,5,D,E,GASAL,2005/2006
23050034,SI1012,2,2,B,C,GASAL,2005/2006
23050034,SI9043,3,3,B,E,GASAL,2005/2006
23050034,SI1123,3,3,B,B,GASAL,2005/2006
23050034,SI1022,2,2,B,D,GASAL,2005/2006
23050034,SI1072,2,2,B,C,GASAL,2005/2006
23050034,SI1143,3,5,B,D,GASAL,2005/2006
23050034,MH1012,2,2,G,E,GASAL,2005/2006
23050034,PR1143,0,0,C,,GASAL,2005/2006
23050034,SI9053,3,5,C,E,GASAL,2005/2006
23050035,SI1012,2,2,B,E,GASAL,2005/2006
23050035,SI9043,3,3,B,E,GASAL,2005/2006
23050035,SI1123,3,3,B,E,GASAL,2005/2006
23050035,SI1022,2,2,B,E,GASAL,2005/2006
23050035,SI1072,2,2,B,E,GASAL,2005/2006
23050035,SI1143,3,5,B,E,GASAL,2005/2006
23050035,MH1012,2,2,G,E,GASAL,2005/2006
23050035,PR1143,0,0,C,,GASAL,2005/2006
23050035,SI9053,3,5,C,E,GASAL,2005/2006
23050036,SI1012,2,2,B,B,GASAL,2005/2006
23050036,SI9043,3,3,B,D,GASAL,2005/2006
23050036,SI1123,3,3,B,C,GASAL,2005/2006
23050036,SI1022,2,2,B,B,GASAL,2005/2006
23050036,SI1072,2,2,B,C,GASAL,2005/2006
23050036,SI1143,3,5,B,C,GASAL,2005/2006
23050036,MH1012,2,2,G,B,GASAL,2005/2006
23050036,PR1143,0,0,C,,GASAL,2005/2006
23050036,SI9053,3,5,C,B,GASAL,2005/2006
23050037,SI1012,2,2,B,B,GASAL,2005/2006
23050037,SI9043,3,3,B,C,GASAL,2005/2006
23050037,SI1123,3,3,B,C,GASAL,2005/2006
23050037,SI1022,2,2,B,B,GASAL,2005/2006
23050037,SI1072,2,2,B,B,GASAL,2005/2006
23050037,SI1143,3,5,B,C,GASAL,2005/2006
23050037,MH1012,2,2,G,B,GASAL,2005/2006
23050037,PR1143,0,0,C,,GASAL,2005/2006
23050037,SI9053,3,5,C,B,GASAL,2005/2006
23050038,SI1012,2,2,B,B,GASAL,2005/2006
23050038,SI9043,3,3,B,B,GASAL,2005/2006
23050038,SI1123,3,3,B,B,GASAL,2005/2006
23050038,SI1022,2,2,B,B,GASAL,2005/2006
23050038,SI1072,2,2,B,C,GASAL,2005/2006
23050038,SI1143,3,5,B,B,GASAL,2005/2006
23050038,MH1012,2,2,G,B,GASAL,2005/2006
23050038,PR1143,0,0,C,,GASAL,2005/2006
23050038,SI9053,3,5,C,B,GASAL,2005/2006
23050039,SI1012,2,2,B,C,GASAL,2005/2006
23050039,SI9043,3,3,B,C,GASAL,2005/2006
23050039,SI1123,3,3,B,C,GASAL,2005/2006
23050039,SI1022,2,2,B,B,GASAL,2005/2006
23050039,SI1072,2,2,B,B,GASAL,2005/2006
23050039,SI1143,3,5,B,C,GASAL,2005/2006
23050039,MH1012,2,2,G,C,GASAL,2005/2006
23050039,PR1143,0,0,C,,GASAL,2005/2006
23050039,SI9053,3,5,A,B,GASAL,2005/2006
23050040,SI1012,2,2,B,B,GASAL,2005/2006
23050040,SI9043,3,3,B,C,GASAL,2005/2006
23050040,SI1123,3,3,B,A,GASAL,2005/2006
23050040,SI1022,2,2,B,B,GASAL,2005/2006
23050040,SI1072,2,2,B,C,GASAL,2005/2006
23050040,SI1143,3,5,B,C,GASAL,2005/2006
23050040,MH1012,2,2,G,A,GASAL,2005/2006
23050040,PR1143,0,0,B,,GASAL,2005/2006
23050040,SI9053,3,5,D,C,GASAL,2005/2006
23050041,SI1012,2,2,B,B,GASAL,2005/2006
23050041,SI9043,3,3,B,D,GASAL,2005/2006
23050041,SI1123,3,3,B,C,GASAL,2005/2006
23050041,SI1072,2,2,B,C,GASAL,2005/2006
23050041,SI1143,3,5,B,C,GASAL,2005/2006
23050041,MH1012,2,2,G,B,GASAL,2005/2006
23050041,PR1143,0,0,C,,GASAL,2005/2006
23050041,SI9053,3,5,C,C,GASAL,2005/2006
23050041,SI1022,2,2,A,C,GASAL,2005/2006
23050042,SI1012,2,2,B,B,GASAL,2005/2006
23050042,SI9043,3,3,B,C,GASAL,2005/2006
23050042,SI1123,3,3,B,C,GASAL,2005/2006
23050042,SI1072,2,2,B,B,GASAL,2005/2006
23050042,SI1143,3,5,B,C,GASAL,2005/2006
23050042,MH1012,2,2,G,B,GASAL,2005/2006
23050042,PR1143,0,0,C,,GASAL,2005/2006
23050042,SI9053,3,5,C,B,GASAL,2005/2006
23050042,SI1022,2,2,A,B,GASAL,2005/2006
23050043,SI1012,2,2,B,B,GASAL,2005/2006
23050043,SI9043,3,3,B,D,GASAL,2005/2006
23050043,SI1123,3,3,B,C,GASAL,2005/2006
23050043,SI1072,2,2,B,B,GASAL,2005/2006
23050043,SI1143,3,5,B,C,GASAL,2005/2006
23050043,MH1012,2,2,G,B,GASAL,2005/2006
23050043,PR1143,0,0,C,,GASAL,2005/2006
23050043,SI9053,3,5,C,B,GASAL,2005/2006
23050043,SI1022,2,2,A,B,GASAL,2005/2006
23050044,SI1012,2,2,A,B,GASAL,2005/2006
23050044,SI1123,3,3,A,C,GASAL,2005/2006
23050044,SI1072,2,2,A,C,GASAL,2005/2006
23050044,SI1143,3,5,A,C,GASAL,2005/2006
23050044,MH1012,2,2,G,C,GASAL,2005/2006
23050044,PR1143,0,0,C,,GASAL,2005/2006
23050044,SI9053,3,5,C,B,GASAL,2005/2006
23050044,SI1022,2,2,A,C,GASAL,2005/2006
23050044,SI9043,3,3,B,D,GASAL,2005/2006
23050045,SI1012,2,2,A,B,GASAL,2005/2006
23050045,SI9043,3,3,A,B,GASAL,2005/2006
23050045,SI1123,3,3,A,C,GASAL,2005/2006
23050045,SI1022,2,2,A,B,GASAL,2005/2006
23050045,SI1072,2,2,A,B,GASAL,2005/2006
23050045,SI1143,3,5,A,C,GASAL,2005/2006
23050045,MH1012,2,2,G,A,GASAL,2005/2006
23050045,PR1143,0,0,C,,GASAL,2005/2006
23050045,SI9053,3,5,C,A,GASAL,2005/2006
23050046,SI1012,2,2,A,B,GASAL,2005/2006
23050046,SI9043,3,3,A,D,GASAL,2005/2006
23050046,SI1123,3,3,A,B,GASAL,2005/2006
23050046,SI1022,2,2,A,B,GASAL,2005/2006
23050046,SI1072,2,2,A,B,GASAL,2005/2006
23050046,SI1143,3,5,A,C,GASAL,2005/2006
23050046,MH1012,2,2,G,B,GASAL,2005/2006
23050046,PR1143,0,0,C,,GASAL,2005/2006
23050046,SI9053,3,5,C,B,GASAL,2005/2006
23050047,SI1012,2,2,A,B,GASAL,2005/2006
23050047,SI9043,3,3,A,C,GASAL,2005/2006
23050047,SI1123,3,3,A,A,GASAL,2005/2006
23050047,SI1022,2,2,A,A,GASAL,2005/2006
23050047,SI1072,2,2,A,A,GASAL,2005/2006
23050047,SI1143,3,5,A,A,GASAL,2005/2006
