nim,kode,sks,harga,grup,nilai,semester,th_ajaran
01130006,FI2053,3,3,A,A-,GASAL,2014/2015
01130023,FI2033,3,3,B,B+,GASAL,2014/2015
01130028,FI2022,2,2,A,B+,GASAL,2014/2015
01130011,FI2022,2,2,A,A,GASAL,2014/2015
01130029,FI2033,3,3,B,A,GASAL,2014/2015
01130025,FI2053,3,3,A,A-,GASAL,2014/2015
01130011,FI2033,3,3,B,A-,GASAL,2014/2015
01130005,FI2022,2,2,A,B+,GASAL,2014/2015
01130006,FI4013,3,3,A,B+,GASAL,2014/2015
01130023,FI2053,3,3,A,A,GASAL,2014/2015
01130026,FI2022,2,2,A,B-,GASAL,2014/2015
01130021,FI2053,3,3,A,A-,GASAL,2014/2015
01130004,FI2053,3,3,A,A-,GASAL,2014/2015
01130019,FI2053,3,3,A,A-,GASAL,2014/2015
01130013,FI3013,3,3,B,A,GASAL,2014/2015
01130006,FI3013,3,3,B,A-,GASAL,2014/2015
01130016,FI2033,3,3,B,B-,GASAL,2014/2015
01130011,FI2053,3,3,A,A,GASAL,2014/2015
01130005,FI2033,3,3,B,B+,GASAL,2014/2015
01130025,FI3013,3,3,B,A,GASAL,2014/2015
01130001,FI2033,3,3,B,A-,GASAL,2014/2015
01130008,FI2053,3,3,A,A-,GASAL,2014/2015
01130004,FI2033,3,3,B,B+,GASAL,2014/2015
01130019,FI2033,3,3,B,A,GASAL,2014/2015
01130017,FI2033,3,3,B,B+,GASAL,2014/2015
01130011,FI3013,3,3,B,A-,GASAL,2014/2015
01130010,FI2053,3,3,A,A-,GASAL,2014/2015
01130026,FI2033,3,3,B,A,GASAL,2014/2015
01130015,FI2022,2,2,A,B,GASAL,2014/2015
01130023,FI3013,3,3,B,A,GASAL,2014/2015
01130021,FI2033,3,3,B,A-,GASAL,2014/2015
01130008,FI3013,3,3,B,A-,GASAL,2014/2015
01130006,FI5083,3,3,A,A-,GASAL,2014/2015
01130011,FI4013,3,3,A,A-,GASAL,2014/2015
01130010,FI3013,3,3,B,A-,GASAL,2014/2015
01130028,FI4013,3,3,A,B-,GASAL,2014/2015
01130008,FI4013,3,3,A,A,GASAL,2014/2015
01130017,FI2022,2,2,A,B+,GASAL,2014/2015
01130001,FI2022,2,2,A,A-,GASAL,2014/2015
01130004,FI3013,3,3,B,A-,GASAL,2014/2015
01130010,FI4013,3,3,A,A-,GASAL,2014/2015
01130013,FI2022,2,2,A,B,GASAL,2014/2015
01130011,FI5083,3,3,A,A,GASAL,2014/2015
01130019,FI3013,3,3,B,A-,GASAL,2014/2015
01130008,FI5083,3,3,A,A,GASAL,2014/2015
01130029,FI2053,3,3,A,B,GASAL,2014/2015
01130021,FI3013,3,3,B,A,GASAL,2014/2015
01130020,FI2033,3,3,B,A,GASAL,2014/2015
01130002,FI2033,3,3,B,A-,GASAL,2014/2015
01130014,FI2053,3,3,A,A,GASAL,2014/2015
01130028,FI2053,3,3,A,B,GASAL,2014/2015
01130025,FI5083,3,3,A,A-,GASAL,2014/2015
01130026,FI2053,3,3,A,A-,GASAL,2014/2015
01130001,FI3013,3,3,B,A,GASAL,2014/2015
01130016,FI2053,3,3,A,B+,GASAL,2014/2015
01130010,FI5083,3,3,A,A,GASAL,2014/2015
01130022,FI2053,3,3,A,B,GASAL,2014/2015
01130017,FI2053,3,3,A,A,GASAL,2014/2015
