nim,kode,grup,kembali,absen,no,semester,th_ajaran
11110001,MU1276,A,25/08/2014 10:41,A,1,GASAL,2014/2015
11110007,MU1276,A,25/08/2014 10:41,A,2,GASAL,2014/2015
11110039,MU1276,A,25/08/2014 10:41,A,3,GASAL,2014/2015
11110067,MU1276,A,25/08/2014 10:41,A,4,GASAL,2014/2015
11120010,MU1276,A,25/08/2014 10:41,H,5,GASAL,2014/2015
11120029,MU1276,A,25/08/2014 10:41,A,6,GASAL,2014/2015
11130003,MU1276,A,25/08/2014 10:41,H,7,GASAL,2014/2015
11130006,MU1276,A,25/08/2014 10:41,H,8,GASAL,2014/2015
11130023,MU1276,B,25/08/2014 10:41,H,9,GASAL,2014/2015
11130030,MU1276,A,25/08/2014 10:41,H,10,GASAL,2014/2015
11130032,MU1276,A,25/08/2014 10:41,H,11,GASAL,2014/2015
11130033,MU1276,A,25/08/2014 10:41,H,12,GASAL,2014/2015
11130034,MU1276,A,25/08/2014 10:41,H,13,GASAL,2014/2015
11130036,MU1276,A,25/08/2014 10:41,H,14,GASAL,2014/2015
11130042,MU1276,A,25/08/2014 10:41,H,15,GASAL,2014/2015
11130043,MU1276,A,25/08/2014 10:41,H,16,GASAL,2014/2015
11130046,MU1276,A,25/08/2014 10:41,H,17,GASAL,2014/2015
11130047,MU1276,A,25/08/2014 10:41,A,18,GASAL,2014/2015
11130049,MU1276,A,25/08/2014 10:41,H,19,GASAL,2014/2015
11130053,MU1276,A,25/08/2014 10:41,H,20,GASAL,2014/2015
11130065,MU1276,A,25/08/2014 10:41,H,21,GASAL,2014/2015
11130085,MU1276,A,25/08/2014 10:41,H,22,GASAL,2014/2015
11130086,MU1276,A,25/08/2014 10:41,A,23,GASAL,2014/2015
11130087,MU1276,A,25/08/2014 10:41,H,24,GASAL,2014/2015
11130088,MU1276,A,25/08/2014 10:41,H,25,GASAL,2014/2015
11110036,MU1235,B,25/08/2014 10:42,H,1,GASAL,2014/2015
11130019,MU1235,B,25/08/2014 10:42,H,2,GASAL,2014/2015
11130039,MU1235,B,25/08/2014 10:42,H,3,GASAL,2014/2015
11130048,MU1235,B,25/08/2014 10:42,H,4,GASAL,2014/2015
11130064,MU1235,B,25/08/2014 10:42,A,5,GASAL,2014/2015
11130090,MU1235,B,25/08/2014 10:42,H,6,GASAL,2014/2015
11130091,MU1235,B,25/08/2014 10:42,H,7,GASAL,2014/2015
11140031,MU1235,B,25/08/2014 10:42,H,8,GASAL,2014/2015
11140032,MU1235,B,25/08/2014 10:42,H,9,GASAL,2014/2015
11140033,MU1235,B,25/08/2014 10:42,H,10,GASAL,2014/2015
11140034,MU1235,B,25/08/2014 10:42,H,11,GASAL,2014/2015
11140035,MU1235,B,25/08/2014 10:42,H,12,GASAL,2014/2015
11140036,MU1235,B,25/08/2014 10:42,H,13,GASAL,2014/2015
11140037,MU1235,B,25/08/2014 10:42,H,14,GASAL,2014/2015
11140038,MU1235,B,25/08/2014 10:42,H,15,GASAL,2014/2015
11140039,MU1235,B,25/08/2014 10:42,H,16,GASAL,2014/2015
11140040,MU1235,B,25/08/2014 10:42,H,17,GASAL,2014/2015
11140041,MU1235,B,25/08/2014 10:42,H,18,GASAL,2014/2015
11140042,MU1235,B,25/08/2014 10:42,H,19,GASAL,2014/2015
11140043,MU1235,B,25/08/2014 10:42,H,20,GASAL,2014/2015
11140044,MU1235,B,25/08/2014 10:42,H,21,GASAL,2014/2015
11140045,MU1235,B,25/08/2014 10:42,H,22,GASAL,2014/2015
11140046,MU1235,B,25/08/2014 10:42,H,23,GASAL,2014/2015
11140047,MU1235,B,25/08/2014 10:42,H,24,GASAL,2014/2015
11140048,MU1235,B,25/08/2014 10:42,A,25,GASAL,2014/2015
11140049,MU1235,B,25/08/2014 10:42,H,26,GASAL,2014/2015
11140050,MU1235,B,25/08/2014 10:42,H,27,GASAL,2014/2015
11140051,MU1235,B,25/08/2014 10:42,H,28,GASAL,2014/2015
11140052,MU1235,B,25/08/2014 10:42,H,29,GASAL,2014/2015
11140053,MU1235,B,25/08/2014 10:42,H,30,GASAL,2014/2015
11140054,MU1235,B,25/08/2014 10:42,H,31,GASAL,2014/2015
