nim,kode,sks,harga,grup,nilai,semester,th_ajaran
72140001,MH1013,3,3,H,C+,GASAL,2014/2015
72140001,SI1016,6,7,A,A,GASAL,2014/2015
72140001,PR1016,0,0,A,T,GASAL,2014/2015
72140001,SI1026,6,6,A,B,GASAL,2014/2015
72140001,SI1036,6,9,B,A,GASAL,2014/2015
72140001,PR1036,0,0,B,T,GASAL,2014/2015
72140001,PR9100,0,0,A,B,GASAL,2014/2015
72130025,SI2016,6,6,A,A-,GASAL,2014/2015
72130006,SI2016,6,6,A,A-,GASAL,2014/2015
72130025,SI2036,6,8,A,B+,GASAL,2014/2015
72130001,SI2026,6,8,A,C,GASAL,2014/2015
72130006,SI2036,6,8,A,B+,GASAL,2014/2015
72130001,PR2026,0,0,A,T,GASAL,2014/2015
72130004,MH2013,3,3,A,A-,GASAL,2014/2015
72130018,SI2026,6,8,A,D,GASAL,2014/2015
72130022,MH2013,3,3,A,A-,GASAL,2014/2015
72130002,MH2013,3,3,A,A-,GASAL,2014/2015
72130001,MH2013,3,3,A,B+,GASAL,2014/2015
72130005,SI2036,6,8,A,A,GASAL,2014/2015
72130022,SI2016,6,6,A,A-,GASAL,2014/2015
72130001,SI2016,6,6,A,B+,GASAL,2014/2015
72130018,PR2026,0,0,B,T,GASAL,2014/2015
72130025,MH5033,3,3,A,A,GASAL,2014/2015
72130005,SI2016,6,6,A,A-,GASAL,2014/2015
72130001,SI2036,6,8,A,E,GASAL,2014/2015
72130004,SI2016,6,6,A,A-,GASAL,2014/2015
72130025,MH2013,3,3,A,A-,GASAL,2014/2015
72130002,SI2016,6,6,A,A,GASAL,2014/2015
72130011,MH2013,3,3,A,B+,GASAL,2014/2015
72130022,SI2026,6,8,A,A,GASAL,2014/2015
72130026,MH2013,3,3,A,B,GASAL,2014/2015
72130004,SI2026,6,8,A,B-,GASAL,2014/2015
72130011,SI2016,6,6,A,B+,GASAL,2014/2015
72130006,MH2013,3,3,A,A-,GASAL,2014/2015
