NIM,KODE,SKS,HARGA,GRUP,NILAI,SEMESTER,TH_AJARAN
31930445,BI1064,4,5,A,E,GENAP,1996/1997
31930445,MU2102,2,2,A,C,GENAP,1996/1997
31930445,BI1042,2,2,A,B,GENAP,1996/1997
31930445,BI2492,2,2,A,D,GENAP,1996/1997
31930445,MU1032,2,2,A,E,GENAP,1996/1997
31950531,BI2272,2,2,A,C,GENAP,1996/1997
31950531,BI2312,2,2,A,,GENAP,1996/1997
31950531,BI2304,4,5,A,C,GENAP,1996/1997
31950531,BI1064,4,5,A,D,GENAP,1996/1997
31950531,BI1042,2,2,A,C,GENAP,1996/1997
31950533,BI1064,4,5,A,D,GENAP,1996/1997
31950533,BI2103,3,4,A,D,GENAP,1996/1997
31950533,BI2304,4,5,A,D,GENAP,1996/1997
31950533,BI2312,2,2,A,,GENAP,1996/1997
31950533,MU1032,2,2,A,E,GENAP,1996/1997
31950540,BI1073,3,3,A,E,GENAP,1996/1997
31950540,BI2304,4,5,A,E,GENAP,1996/1997
31950540,BI2312,2,2,A,,GENAP,1996/1997
31950540,MU1032,2,2,A,E,GENAP,1996/1997
31950540,BI1042,2,2,A,D,GENAP,1996/1997
31950555,BI1042,2,2,A,C,GENAP,1996/1997
31950555,BI1064,4,5,A,E,GENAP,1996/1997
31950555,BI1073,3,3,A,D,GENAP,1996/1997
31950555,BI2103,3,4,A,D,GENAP,1996/1997
31950555,BI2113,3,4,A,E,GENAP,1996/1997
31950555,MU1032,2,2,A,E,GENAP,1996/1997
31960594,BI1064,4,5,A,D,GENAP,1996/1997
31960594,BI1092,2,2,A,C,GENAP,1996/1997
31960594,BI2103,3,4,A,D,GENAP,1996/1997
31960594,BI2113,3,4,A,E,GENAP,1996/1997
31960594,MU1032,2,2,A,E,GENAP,1996/1997
31960594,BI1073,3,3,A,E,GENAP,1996/1997
31960607,BI1064,4,5,A,D,GENAP,1996/1997
31960607,MU1032,2,2,A,E,GENAP,1996/1997
31960607,BI2103,3,4,A,C,GENAP,1996/1997
31960607,BI1092,2,2,A,B,GENAP,1996/1997
31960607,BI1073,3,3,A,D,GENAP,1996/1997
31960607,BI2113,3,4,A,E,GENAP,1996/1997
31960621,BI1064,4,5,A,B,GENAP,1996/1997
31960621,BI1073,3,3,A,E,GENAP,1996/1997
31960621,BI1092,2,2,A,C,GENAP,1996/1997
31960621,BI2103,3,4,A,C,GENAP,1996/1997
31960621,BI2113,3,4,A,B,GENAP,1996/1997
31960621,BI1013,3,3,A,B,GENAP,1996/1997
31960621,BI1042,2,2,A,C,GENAP,1996/1997
31930445,BI2443,3,4,A,E,GASAL,1997/1998
31930445,BI1422,2,2,A,E,GASAL,1997/1998
31930445,BI2452,2,2,A,E,GASAL,1997/1998
31930445,BI1204,4,5,A,E,GASAL,1997/1998
31930445,BI1403,3,3,A,,GASAL,1997/1998
31950531,BI1204,4,5,A,D,GASAL,1997/1998
31950531,BI1422,2,2,A,D,GASAL,1997/1998
31950531,BI2452,2,2,A,D,GASAL,1997/1998
31950531,MU2052,2,2,A,A,GASAL,1997/1998
31950531,MU1072,2,2,A,B,GASAL,1997/1998
31950531,BI2254,4,5,A,E,GASAL,1997/1998
31950533,BI1204,4,5,A,E,GASAL,1997/1998
31950533,BI2244,4,5,A,D,GASAL,1997/1998
31950533,BI2254,4,5,A,E,GASAL,1997/1998
31950533,MU2052,2,2,A,C,GASAL,1997/1998
31950533,BI2213,3,4,A,E,GASAL,1997/1998
31950533,BI1013,3,3,A,,GASAL,1997/1998
31950540,BI2254,4,5,A,E,GASAL,1997/1998
31950540,MU2052,2,2,A,B,GASAL,1997/1998
31950540,BI1013,3,3,A,,GASAL,1997/1998
31950540,BI1034,4,5,A,E,GASAL,1997/1998
31950555,BI2213,3,4,A,,GASAL,1997/1998
31950555,BI2244,4,5,A,E,GASAL,1997/1998
31950555,MU2052,2,2,A,C,GASAL,1997/1998
31950555,MU1012,2,2,A,D,GASAL,1997/1998
31960594,BI2213,3,4,A,C,GASAL,1997/1998
31960594,MU1072,2,2,A,D,GASAL,1997/1998
31960594,BI2244,4,5,A,C,GASAL,1997/1998
31960594,MU1032,2,2,D,,GASAL,1997/1998
31960607,BI1013,3,3,A,C,GASAL,1997/1998
31960607,BI2213,3,4,A,D,GASAL,1997/1998
31960607,BI2244,4,5,A,B,GASAL,1997/1998
31960607,MU1072,2,2,A,D,GASAL,1997/1998
31960621,BI2213,3,4,A,B,GASAL,1997/1998
31960621,BI1204,4,5,A,D,GASAL,1997/1998
31960621,BI2223,3,4,A,C,GASAL,1997/1998
31960621,BI2244,4,5,A,B,GASAL,1997/1998
31960621,BI2254,4,5,A,C,GASAL,1997/1998
31960621,MU1032,2,2,D,,GASAL,1997/1998
31970641,MU1072,2,2,A,E,GASAL,1997/1998
31970641,MU1012,2,2,A,C,GASAL,1997/1998
31970641,BI1054,4,5,A,,GASAL,1997/1998
31970641,BI1084,4,5,A,D,GASAL,1997/1998
31970641,BI1013,3,3,A,D,GASAL,1997/1998
31970641,BI1034,4,5,A,D,GASAL,1997/1998
31970650,MU1072,2,2,A,D,GASAL,1997/1998
31970650,MU1012,2,2,A,B,GASAL,1997/1998
31970650,BI1054,4,5,A,C,GASAL,1997/1998
31970650,BI1084,4,5,A,C,GASAL,1997/1998
31970650,BI1013,3,3,A,D,GASAL,1997/1998
31970650,BI1034,4,5,A,C,GASAL,1997/1998
31930445,BI1064,4,5,A,E,GENAP,1997/1998
31930445,BI2492,2,2,A,E,GENAP,1997/1998
31930445,BI2452,2,2,A,,GENAP,1997/1998
31930445,MU1032,2,2,A,E,GENAP,1997/1998
31930445,BI2113,3,4,A,E,GENAP,1997/1998
31950531,BI1073,3,4,A,C,GENAP,1997/1998
31950531,BI2312,2,2,A,A,GENAP,1997/1998
31950531,MU1032,2,2,A,B,GENAP,1997/1998
31950531,BI1064,4,5,A,C,GENAP,1997/1998
31950531,BI2264,4,5,A,D,GENAP,1997/1998
31950533,BI2234,4,5,A,D,GENAP,1997/1998
31950533,BI2312,2,2,A,E,GENAP,1997/1998
31950533,BI2103,3,4,A,D,GENAP,1997/1998
31950533,BI1042,2,2,A,C,GENAP,1997/1998
31950533,BI2304,4,5,A,E,GENAP,1997/1998
31950540,BI2103,3,4,A,C,GENAP,1997/1998
31950540,BI2312,2,2,A,E,GENAP,1997/1998
31950540,BI2234,4,5,A,E,GENAP,1997/1998
31950540,BI2113,3,4,A,E,GENAP,1997/1998
31950555,BI2113,3,4,A,E,GENAP,1997/1998
31950555,BI1073,3,4,A,C,GENAP,1997/1998
31950555,BI2103,3,4,A,E,GENAP,1997/1998
31950555,BI1064,4,5,A,D,GENAP,1997/1998
31960594,BI1042,2,2,A,C,GENAP,1997/1998
31960594,BI1073,3,4,A,D,GENAP,1997/1998
31960594,BI1064,4,5,A,C,GENAP,1997/1998
31960594,BI2113,3,4,A,D,GENAP,1997/1998
31960607,MU1032,2,2,A,B,GENAP,1997/1998
31960607,BI1042,2,2,A,C,GENAP,1997/1998
31960607,BI2113,3,4,A,B,GENAP,1997/1998
31960607,BI2234,4,5,A,D,GENAP,1997/1998
31960621,BI1042,2,2,A,E,GENAP,1997/1998
31960621,BI2234,4,5,A,B,GENAP,1997/1998
31960621,BI1073,3,4,A,C,GENAP,1997/1998
31960621,BI2304,4,5,A,B,GENAP,1997/1998
31960621,BI2264,4,5,A,C,GENAP,1997/1998
31970641,BI2113,3,4,A,E,GENAP,1997/1998
31970641,BI2103,3,4,A,D,GENAP,1997/1998
31970650,BI1042,2,2,A,C,GENAP,1997/1998
31970650,BI1064,4,5,A,D,GENAP,1997/1998
31970650,BI2103,3,4,A,D,GENAP,1997/1998
31970650,BI2113,3,4,A,E,GENAP,1997/1998
31930445,BI1064,4,5,A,E,GENAP,1997/1998
31930445,BI2492,2,2,A,E,GENAP,1997/1998
31930445,BI2452,2,2,A,,GENAP,1997/1998
31930445,MU1032,2,2,A,E,GENAP,1997/1998
