nim,kode,sks,harga,grup,nilai,semester,th_ajaran
11140001,MU1235,5,6,A,A,GASAL,2014/2015
11140001,MU1226,6,6,A,B,GASAL,2014/2015
11140001,MH1033,3,3,G,B,GASAL,2014/2015
11140001,MU1043,3,3,A,B,GASAL,2014/2015
11140002,MU1235,5,6,A,A,GASAL,2014/2015
11140002,MU1226,6,6,A,A-,GASAL,2014/2015
11140002,MU1043,3,3,A,B+,GASAL,2014/2015
11140003,MU1235,5,6,A,A-,GASAL,2014/2015
11140003,MU1226,6,6,A,A,GASAL,2014/2015
11140003,MH1013,3,3,A,B+,GASAL,2014/2015
11140003,MH1033,3,3,G,B-,GASAL,2014/2015
11140003,MU1043,3,3,A,B,GASAL,2014/2015
11140004,MU1235,5,6,A,A,GASAL,2014/2015
11140004,MU1226,6,6,A,A-,GASAL,2014/2015
11140004,MH1013,3,3,A,B+,GASAL,2014/2015
11140004,MH1033,3,3,G,B-,GASAL,2014/2015
11140004,MU1043,3,3,A,B,GASAL,2014/2015
11140005,MU1235,5,6,A,B,GASAL,2014/2015
11140005,MU1226,6,6,A,B-,GASAL,2014/2015
11140005,MH1033,3,3,G,D,GASAL,2014/2015
11140005,MU1043,3,3,A,B,GASAL,2014/2015
11140006,MU1235,5,6,A,A,GASAL,2014/2015
11140006,MU1226,6,6,A,A,GASAL,2014/2015
11140006,MH1013,3,3,A,B,GASAL,2014/2015
11140006,MH1033,3,3,G,B,GASAL,2014/2015
11140006,MU1043,3,3,A,A,GASAL,2014/2015
11140007,MU1235,5,6,A,A,GASAL,2014/2015
11140007,MU1226,6,6,A,A,GASAL,2014/2015
11140007,MH1013,3,3,A,A-,GASAL,2014/2015
11140007,MH1033,3,3,G,B,GASAL,2014/2015
11140007,MU1043,3,3,A,B,GASAL,2014/2015
11140008,MU1235,5,6,A,A,GASAL,2014/2015
11140008,MU1226,6,6,A,B+,GASAL,2014/2015
11140008,MH1013,3,3,A,B,GASAL,2014/2015
11140008,MH1033,3,3,G,B-,GASAL,2014/2015
11140008,MU1043,3,3,A,B+,GASAL,2014/2015
11140009,MU1235,5,6,A,A,GASAL,2014/2015
11140009,MU1226,6,6,A,C,GASAL,2014/2015
11140009,MH1013,3,3,A,B,GASAL,2014/2015
11140009,MH1033,3,3,G,C+,GASAL,2014/2015
11140009,MU1043,3,3,A,B+,GASAL,2014/2015
11140010,MU1235,5,6,A,A,GASAL,2014/2015
11140010,MU1226,6,6,A,B,GASAL,2014/2015
11140010,MH1013,3,3,A,B+,GASAL,2014/2015
11140010,MH1033,3,3,G,B-,GASAL,2014/2015
11140010,MU1043,3,3,A,B+,GASAL,2014/2015
11140011,MU1235,5,6,A,A,GASAL,2014/2015
11140011,MU1226,6,6,A,A,GASAL,2014/2015
11140011,MH1013,3,3,A,B-,GASAL,2014/2015
11140011,MH1033,3,3,G,B,GASAL,2014/2015
11140011,MU1043,3,3,A,A-,GASAL,2014/2015
11140012,MU1235,5,6,A,A,GASAL,2014/2015
11140012,MU1226,6,6,A,B,GASAL,2014/2015
11140012,MH1033,3,3,G,E,GASAL,2014/2015
11140012,MU1043,3,3,A,B,GASAL,2014/2015
11140013,MU1235,5,6,A,B+,GASAL,2014/2015
11140013,MU1226,6,6,A,E,GASAL,2014/2015
11140013,MH1013,3,3,A,C,GASAL,2014/2015
11140013,MH1033,3,3,G,B-,GASAL,2014/2015
11140013,MU1043,3,3,A,B-,GASAL,2014/2015
11140014,MU1235,5,6,A,A-,GASAL,2014/2015
11140014,MU1226,6,6,A,B-,GASAL,2014/2015
11140014,MH1013,3,3,A,C+,GASAL,2014/2015
11140014,MH1033,3,3,G,B-,GASAL,2014/2015
11140014,MU1043,3,3,A,B-,GASAL,2014/2015
11140016,MU1235,5,6,A,A-,GASAL,2014/2015
11140016,MU1226,6,6,A,B,GASAL,2014/2015
11140016,MH1013,3,3,A,C,GASAL,2014/2015
11140016,MH1033,3,3,G,D,GASAL,2014/2015
11140016,MU1043,3,3,A,B,GASAL,2014/2015
11140017,MU1235,5,6,A,A,GASAL,2014/2015
11140017,MU1226,6,6,A,A,GASAL,2014/2015
11140017,MU1043,3,3,A,E,GASAL,2014/2015
11140018,MU1235,5,6,A,A,GASAL,2014/2015
11140018,MU1226,6,6,A,B-,GASAL,2014/2015
11140018,MH1013,3,3,A,B,GASAL,2014/2015
11140018,MH1033,3,3,G,B-,GASAL,2014/2015
11140018,MU1043,3,3,A,B,GASAL,2014/2015
11140019,MU1235,5,6,A,A,GASAL,2014/2015
11140019,MU1226,6,6,A,A-,GASAL,2014/2015
11140019,MH1013,3,3,A,B-,GASAL,2014/2015
11140019,MH1033,3,3,G,B-,GASAL,2014/2015
11140019,MU1043,3,3,A,B,GASAL,2014/2015
11140020,MU1235,5,6,A,B+,GASAL,2014/2015
11140020,MU1226,6,6,A,D,GASAL,2014/2015
11140020,MH1013,3,3,A,A-,GASAL,2014/2015
11140020,MH1033,3,3,G,D,GASAL,2014/2015
11140020,MU1043,3,3,A,E,GASAL,2014/2015
11140021,MU1235,5,6,A,A-,GASAL,2014/2015
11140021,MU1226,6,6,A,C,GASAL,2014/2015
11140021,MH1013,3,3,B,B-,GASAL,2014/2015
11140021,MH1033,3,3,G,C+,GASAL,2014/2015
11140021,MU1043,3,3,B,E,GASAL,2014/2015
11140022,MU1235,5,6,A,A,GASAL,2014/2015
11140022,MU1226,6,6,A,B,GASAL,2014/2015
11140022,MH1013,3,3,B,B-,GASAL,2014/2015
11140022,MH1033,3,3,G,B-,GASAL,2014/2015
11140022,MU1043,3,3,B,E,GASAL,2014/2015
11140023,MU1235,5,6,A,A,GASAL,2014/2015
