nim,kode,grup,kembali,absen,no,semester,th_ajaran
23050088,SI3033,A,25/08/2014 13:44,A,1,GASAL,2014/2015
23080310,SI3033,A,25/08/2014 13:44,H,2,GASAL,2014/2015
23090481,SI3033,A,25/08/2014 13:44,H,3,GASAL,2014/2015
23090488,SI3033,A,25/08/2014 13:44,H,4,GASAL,2014/2015
23090494,SI3033,A,25/08/2014 13:44,H,5,GASAL,2014/2015
23090514,SI3033,A,25/08/2014 13:44,H,6,GASAL,2014/2015
72110024,SI3033,A,25/08/2014 13:44,H,7,GASAL,2014/2015
72110060,SI3033,A,25/08/2014 13:44,H,8,GASAL,2014/2015
72110074,SI3033,A,25/08/2014 13:44,A,9,GASAL,2014/2015
72120012,SI3033,A,25/08/2014 13:44,H,10,GASAL,2014/2015
72120035,SI3033,A,25/08/2014 13:44,H,11,GASAL,2014/2015
72120043,SI3033,A,25/08/2014 13:44,H,12,GASAL,2014/2015
72120050,SI3033,A,25/08/2014 13:44,H,13,GASAL,2014/2015
72120060,SI3033,A,25/08/2014 13:44,H,14,GASAL,2014/2015
72120064,SI3033,A,25/08/2014 13:44,H,15,GASAL,2014/2015
72120070,SI3033,A,25/08/2014 13:44,H,16,GASAL,2014/2015
72120073,SI3033,A,25/08/2014 13:44,H,17,GASAL,2014/2015
72120077,SI3033,A,25/08/2014 13:44,H,18,GASAL,2014/2015
72120086,SI3033,A,25/08/2014 13:44,H,19,GASAL,2014/2015
72140001,PR9100,A,25/08/2014 14:00,H,1,GASAL,2014/2015
72140002,PR9100,A,25/08/2014 14:00,H,2,GASAL,2014/2015
72140003,PR9100,A,25/08/2014 14:00,H,3,GASAL,2014/2015
72140004,PR9100,A,25/08/2014 14:00,H,4,GASAL,2014/2015
72140005,PR9100,A,25/08/2014 14:00,H,5,GASAL,2014/2015
72140006,PR9100,A,25/08/2014 14:00,H,6,GASAL,2014/2015
72140007,PR9100,A,25/08/2014 14:00,H,7,GASAL,2014/2015
72140008,PR9100,A,25/08/2014 14:00,H,8,GASAL,2014/2015
72140009,PR9100,A,25/08/2014 14:00,H,9,GASAL,2014/2015
72140010,PR9100,A,25/08/2014 14:00,H,10,GASAL,2014/2015
72140011,PR9100,A,25/08/2014 14:00,H,11,GASAL,2014/2015
72140012,PR9100,A,25/08/2014 14:00,H,12,GASAL,2014/2015
72140013,PR9100,A,25/08/2014 14:00,A,13,GASAL,2014/2015
72140014,PR9100,A,25/08/2014 14:00,H,14,GASAL,2014/2015
72140016,PR9100,A,25/08/2014 14:00,H,15,GASAL,2014/2015
72140018,PR9100,A,25/08/2014 14:00,H,16,GASAL,2014/2015
72140019,PR9100,A,25/08/2014 14:00,H,17,GASAL,2014/2015
72140020,PR9100,A,25/08/2014 14:00,H,18,GASAL,2014/2015
72140021,PR9100,A,25/08/2014 14:00,H,19,GASAL,2014/2015
72140022,PR9100,A,25/08/2014 14:00,A,20,GASAL,2014/2015
