nim,kode,sks,harga,grup,nilai,semester,th_ajaran
01971502,TH0172,2,2,A,A,GASAL,1997/1998
01971502,TH0042,2,2,A,B,GASAL,1997/1998
01971502,TH0182,2,2,A,A,GASAL,1997/1998
01971502,TH0012,2,2,A,B,GASAL,1997/1998
01971502,TH0032,2,2,A,B,GASAL,1997/1998
01971502,TH0022,2,2,A,B,GASAL,1997/1998
01971502,TH0051,1,1,A,C,GASAL,1997/1998
01971502,TH0061,1,1,A,B,GASAL,1997/1998
01971502,TH0176,2,2,A,A,GASAL,1997/1998
01971502,THB176,2,2,A,C,GASAL,1997/1998
01971502,THC176,2,2,A,C,GASAL,1997/1998
01971509,TH0172,2,2,A,B,GASAL,1997/1998
01971509,TH0042,2,2,A,D,GASAL,1997/1998
01971509,TH0182,2,2,A,D,GASAL,1997/1998
01971509,TH0012,2,2,A,C,GASAL,1997/1998
01971509,TH0032,2,2,A,C,GASAL,1997/1998
01971509,TH0022,2,2,A,C,GASAL,1997/1998
01971509,TH0051,1,1,A,B,GASAL,1997/1998
01971509,TH0061,1,1,A,B,GASAL,1997/1998
01971509,TH0176,2,2,A,C,GASAL,1997/1998
01971509,THB176,2,2,A,B,GASAL,1997/1998
01971509,THC176,2,2,A,B,GASAL,1997/1998
01971511,TH0172,2,2,A,C,GASAL,1997/1998
01971511,TH0042,2,2,A,B,GASAL,1997/1998
01971511,TH0182,2,2,A,C,GASAL,1997/1998
01971511,TH0012,2,2,A,C,GASAL,1997/1998
01971511,TH0032,2,2,A,D,GASAL,1997/1998
01971511,TH0022,2,2,A,C,GASAL,1997/1998
01971511,TH0051,1,1,A,C,GASAL,1997/1998
01971511,TH0061,1,1,A,C,GASAL,1997/1998
01971511,TH0176,2,2,A,C,GASAL,1997/1998
01971511,THB176,2,2,A,B,GASAL,1997/1998
01971511,THC176,2,2,A,C,GASAL,1997/1998
01971514,TH0172,2,2,A,B,GASAL,1997/1998
01971514,TH0042,2,2,A,D,GASAL,1997/1998
01971514,TH0182,2,2,A,B,GASAL,1997/1998
01971514,TH0012,2,2,A,B,GASAL,1997/1998
01971514,TH0032,2,2,A,C,GASAL,1997/1998
01971514,TH0022,2,2,A,B,GASAL,1997/1998
01971514,TH0051,1,1,A,D,GASAL,1997/1998
01971514,TH0061,1,1,A,D,GASAL,1997/1998
01971514,TH0176,2,2,A,C,GASAL,1997/1998
01971514,THB176,2,2,A,D,GASAL,1997/1998
01971514,THC176,2,2,A,C,GASAL,1997/1998
01971527,TH0172,2,2,A,B,GASAL,1997/1998
01971527,TH0042,2,2,A,C,GASAL,1997/1998
01971527,TH0182,2,2,A,B,GASAL,1997/1998
01971527,TH0012,2,2,A,C,GASAL,1997/1998
01971527,TH0032,2,2,A,B,GASAL,1997/1998
01971527,TH0022,2,2,A,B,GASAL,1997/1998
01971527,TH0051,1,1,A,C,GASAL,1997/1998
01971527,TH0061,1,1,A,A,GASAL,1997/1998
01971527,TH0176,2,2,A,C,GASAL,1997/1998
01971527,THB176,2,2,A,C,GASAL,1997/1998
01971527,THC176,2,2,A,C,GASAL,1997/1998
01941286,TH3082,2,2,A,,GASAL,1997/1998
01941286,TH3102,2,2,A,C,GASAL,1997/1998
01941286,TH3322,2,2,A,C,GASAL,1997/1998
01941286,TH3042,2,2,A,B,GASAL,1997/1998
01941286,TH3062,2,2,A,C,GASAL,1997/1998
01941286,TH3012,2,2,A,B,GASAL,1997/1998
01941286,TH3132,2,2,A,E,GASAL,1997/1998
01941286,TH3032,2,2,A,E,GASAL,1997/1998
01941286,TH3022,2,2,A,B,GASAL,1997/1998
01941286,TH3052,2,2,A,B,GASAL,1997/1998
01941286,TH3302,2,2,A,A,GASAL,1997/1998
01961409,MU2092,2,2,A,A,GASAL,1997/1998
01961409,TH1012,2,2,A,A,GASAL,1997/1998
01961409,TH1032,2,2,A,C,GASAL,1997/1998
01961409,TH1042,2,2,A,B,GASAL,1997/1998
01961409,TH1052,2,2,A,C,GASAL,1997/1998
01961409,TH1062,2,2,A,B,GASAL,1997/1998
01961409,TH1072,2,2,A,B,GASAL,1997/1998
01961409,TH1102,2,2,A,C,GASAL,1997/1998
01961409,TH1212,2,2,A,C,GASAL,1997/1998
01961409,TH1092,1,1,A,A,GASAL,1997/1998
01961409,TH1082,2,2,A,B,GASAL,1997/1998
