kode,grup,prodi,tot_hadir,semester,th_ajaran
AK0073,A,12,14,GENAP,2013/2014
AK1023,A,12,14,GENAP,2013/2014
AK1033,A,12,13,GENAP,2013/2014
AK1043,A,11,1,GENAP,2013/2014
AK1043,A,12,14,GENAP,2013/2014
AK2013,A,12,14,GENAP,2013/2014
AK2023,A,12,14,GENAP,2013/2014
AK3013,A,12,12,GENAP,2013/2014
AK4013,A,12,14,GENAP,2013/2014
AK4023,A,12,14,GENAP,2013/2014
AP1012,A,12,14,GENAP,2013/2014
AP1012,B,12,14,GENAP,2013/2014
AP1042,A,12,17,GENAP,2013/2014
AP1053,A,12,13,GENAP,2013/2014
AP1064,A,12,14,GENAP,2013/2014
AU1053,A,12,14,GENAP,2013/2014
AU1053,B,12,14,GENAP,2013/2014
AU2016,A,12,25,GENAP,2013/2014
AU2026,A,12,28,GENAP,2013/2014
AU2043,A,12,14,GENAP,2013/2014
AU2043,B,12,15,GENAP,2013/2014
AU2056,A,12,27,GENAP,2013/2014
AU2056,B,12,26,GENAP,2013/2014
AU2066,A,01,1,GENAP,2013/2014
AU2066,A,12,19,GENAP,2013/2014
AU2073,A,12,13,GENAP,2013/2014
AU2073,B,12,13,GENAP,2013/2014
AU2093,A,12,13,GENAP,2013/2014
AU2103,A,12,14,GENAP,2013/2014
AU2113,A,12,14,GENAP,2013/2014
AU2125,A,12,24,GENAP,2013/2014
AU2133,A,12,12,GENAP,2013/2014
AU2156,A,12,27,GENAP,2013/2014
BT1016,A,31,15,GENAP,2013/2014
BT1064,A,31,15,GENAP,2013/2014
BT1074,A,31,18,GENAP,2013/2014
BT1074,B,31,18,GENAP,2013/2014
BT1083,A,31,14,GENAP,2013/2014
BT2014,A,31,14,GENAP,2013/2014
BT2024,A,31,17,GENAP,2013/2014
BT2033,A,31,16,GENAP,2013/2014
BT2044,A,31,18,GENAP,2013/2014
BT2053,A,31,14,GENAP,2013/2014
BT2114,A,31,14,GENAP,2013/2014
BT2124,A,31,12,GENAP,2013/2014
BT2133,A,31,14,GENAP,2013/2014
BT2144,A,31,15,GENAP,2013/2014
BT2153,A,31,14,GENAP,2013/2014
BT4203,A,31,15,GENAP,2013/2014
BT4303,A,31,14,GENAP,2013/2014
MH1013,A,99,14,GENAP,2013/2014
MH1033,A,99,14,GENAP,2013/2014
MH1033,B,99,14,GENAP,2013/2014
MH1033,C,99,14,GENAP,2013/2014
MH1033,E,99,14,GENAP,2013/2014
MH1033,H,99,15,GENAP,2013/2014
MH1043,A,99,16,GENAP,2013/2014
MH1043,B,99,13,GENAP,2013/2014
MH1053,A,99,13,GENAP,2013/2014
MH1053,B,99,13,GENAP,2013/2014
MH1053,C,99,13,GENAP,2013/2014
MH1053,D,99,13,GENAP,2013/2014
MH1053,E,99,13,GENAP,2013/2014
MH1063,A,99,12,GENAP,2013/2014
MH1063,B,99,12,GENAP,2013/2014
MH1063,D,99,13,GENAP,2013/2014
MH1063,E,99,12,GENAP,2013/2014
MH1063,F,99,12,GENAP,2013/2014
MH1063,G,99,12,GENAP,2013/2014
MH1063,H,99,12,GENAP,2013/2014
MH2012,A,99,12,GENAP,2013/2014
MH2013,A,99,14,GENAP,2013/2014
MH2023,A,99,14,GENAP,2013/2014
MH2023,B,99,14,GENAP,2013/2014
MH2033,A,99,14,GENAP,2013/2014
MH2033,B,99,14,GENAP,2013/2014
MH2042,A,99,14,GENAP,2013/2014
MH2042,B,99,14,GENAP,2013/2014
MH2043,B,99,10,GENAP,2013/2014
MH2053,A,99,8,GENAP,2013/2014
MH2053,B,99,8,GENAP,2013/2014
MH3013,D,99,14,GENAP,2013/2014
MH5013,B,99,10,GENAP,2013/2014
MH5023,A,99,14,GENAP,2013/2014
MH5033,A,99,12,GENAP,2013/2014
