nim,kode,grup,kembali,absen,no,semester,th_ajaran
01082180,FI2083,A,25/08/2014 10:36,A,1,GASAL,2014/2015
01082183,FI2083,A,25/08/2014 10:36,A,2,GASAL,2014/2015
01102311,FI2083,A,25/08/2014 10:36,A,3,GASAL,2014/2015
01110009,FI2083,A,25/08/2014 10:36,H,4,GASAL,2014/2015
01120006,FI2083,A,25/08/2014 10:36,H,5,GASAL,2014/2015
01120007,FI2083,A,25/08/2014 10:36,H,6,GASAL,2014/2015
01120016,FI2083,A,25/08/2014 10:36,H,7,GASAL,2014/2015
01120017,FI2083,A,25/08/2014 10:36,H,8,GASAL,2014/2015
01120024,FI2083,A,25/08/2014 10:36,H,9,GASAL,2014/2015
01120025,FI2083,A,25/08/2014 10:36,H,10,GASAL,2014/2015
01120042,FI2083,A,25/08/2014 10:36,A,11,GASAL,2014/2015
01072107,FI4023,A,25/08/2014 10:39,H,1,GASAL,2014/2015
01110001,FI4023,A,25/08/2014 10:39,H,2,GASAL,2014/2015
01110003,FI4023,A,25/08/2014 10:39,H,3,GASAL,2014/2015
01110004,FI4023,A,25/08/2014 10:39,H,4,GASAL,2014/2015
01110005,FI4023,A,25/08/2014 10:39,H,5,GASAL,2014/2015
01110007,FI4023,B,25/08/2014 10:39,H,6,GASAL,2014/2015
01110008,FI4023,B,25/08/2014 10:39,H,7,GASAL,2014/2015
01110010,FI4023,B,25/08/2014 10:39,H,8,GASAL,2014/2015
01110011,FI4023,B,25/08/2014 10:39,H,9,GASAL,2014/2015
01110013,FI4023,A,25/08/2014 10:39,H,10,GASAL,2014/2015
01110014,FI4023,A,25/08/2014 10:39,A,11,GASAL,2014/2015
01110015,FI4023,A,25/08/2014 10:39,H,12,GASAL,2014/2015
01110016,FI4023,A,25/08/2014 10:39,H,13,GASAL,2014/2015
01110017,FI4023,A,25/08/2014 10:39,A,14,GASAL,2014/2015
01110018,FI4023,A,25/08/2014 10:39,H,15,GASAL,2014/2015
01110020,FI4023,A,25/08/2014 10:39,H,16,GASAL,2014/2015
01110021,FI4023,A,25/08/2014 10:39,H,17,GASAL,2014/2015
01110022,FI4023,A,25/08/2014 10:39,H,18,GASAL,2014/2015
01110023,FI4023,A,25/08/2014 10:39,H,19,GASAL,2014/2015
01110024,FI4023,A,25/08/2014 10:39,H,20,GASAL,2014/2015
01110025,FI4023,A,25/08/2014 10:39,H,21,GASAL,2014/2015
01110026,FI4023,A,25/08/2014 10:39,H,22,GASAL,2014/2015
01110028,FI4023,A,25/08/2014 10:39,H,23,GASAL,2014/2015
01110029,FI4023,B,25/08/2014 10:39,H,24,GASAL,2014/2015
01110030,FI4023,B,25/08/2014 10:39,H,25,GASAL,2014/2015
01110032,FI4023,B,25/08/2014 10:39,H,26,GASAL,2014/2015
01110033,FI4023,B,25/08/2014 10:39,H,27,GASAL,2014/2015
01110034,FI4023,A,25/08/2014 10:39,H,28,GASAL,2014/2015
01110035,FI4023,B,25/08/2014 10:39,H,29,GASAL,2014/2015
01110036,FI4023,A,25/08/2014 10:39,H,30,GASAL,2014/2015
01110037,FI4023,A,25/08/2014 10:39,H,31,GASAL,2014/2015
01110038,FI4023,A,25/08/2014 10:39,H,32,GASAL,2014/2015
01110039,FI4023,A,25/08/2014 10:39,H,33,GASAL,2014/2015
01110040,FI4023,A,25/08/2014 10:39,H,34,GASAL,2014/2015
01110041,FI4023,A,25/08/2014 10:39,H,35,GASAL,2014/2015
01110042,FI4023,B,25/08/2014 10:39,H,36,GASAL,2014/2015
01120010,FI4023,A,25/08/2014 10:39,H,37,GASAL,2014/2015
01120028,FI4023,A,25/08/2014 10:39,A,38,GASAL,2014/2015
01130024,FI3013,A,25/08/2014 12:23,H,1,GASAL,2014/2015
01140001,FI3013,A,25/08/2014 12:23,H,2,GASAL,2014/2015
01140002,FI3013,A,25/08/2014 12:23,H,3,GASAL,2014/2015
01140003,FI3013,A,25/08/2014 12:23,H,4,GASAL,2014/2015
01140004,FI3013,A,25/08/2014 12:23,H,5,GASAL,2014/2015
01140005,FI3013,A,25/08/2014 12:23,H,6,GASAL,2014/2015
01140006,FI3013,A,25/08/2014 12:23,H,7,GASAL,2014/2015
01140007,FI3013,A,25/08/2014 12:23,H,8,GASAL,2014/2015
01140008,FI3013,A,25/08/2014 12:23,H,9,GASAL,2014/2015
01140009,FI3013,A,25/08/2014 12:23,H,10,GASAL,2014/2015
01140010,FI3013,A,25/08/2014 12:23,H,11,GASAL,2014/2015
01140011,FI3013,A,25/08/2014 12:23,H,12,GASAL,2014/2015
01140012,FI3013,A,25/08/2014 12:23,H,13,GASAL,2014/2015
01140013,FI3013,A,25/08/2014 12:23,H,14,GASAL,2014/2015
01140014,FI3013,A,25/08/2014 12:23,H,15,GASAL,2014/2015
01140015,FI3013,A,25/08/2014 12:23,H,16,GASAL,2014/2015
01140016,FI3013,A,25/08/2014 12:23,H,17,GASAL,2014/2015
01140017,FI3013,A,25/08/2014 12:23,H,18,GASAL,2014/2015
01140018,FI3013,A,25/08/2014 12:23,H,19,GASAL,2014/2015
01140019,FI3013,A,25/08/2014 12:23,H,20,GASAL,2014/2015
01140020,FI3013,A,25/08/2014 12:23,H,21,GASAL,2014/2015
01140021,FI3013,A,25/08/2014 12:23,H,22,GASAL,2014/2015
01140022,FI3013,A,25/08/2014 12:23,H,23,GASAL,2014/2015
01140023,FI3013,A,25/08/2014 12:23,H,24,GASAL,2014/2015
01140024,FI3013,A,25/08/2014 12:23,H,25,GASAL,2014/2015
